Source,full_citation,publication_year,Country,Electronic_or_physical?,Full-text_included?,Exclusion_reason,Data extracted,Note
Investigation of faint-green phenomenonin greenlip abalone (Haliotis laevigata),"Benkendorff, K., Li, Y., & Harris, J., (2010). Investigation of faint-green phenomenonin greenlip abalone (Haliotis laevigata). Final Report.",2010,Australia,Electronic,YES,NA,YES,
FRDC Abalone Aquaculture Sub-program: Proceedings of the 3rd Abalone Aquaculture Workshop,"Maguire, G. B., Dunstan, G. A., Mansour, P., Hindrum, S. M., Johns, D. R., & Cropp, M. (1996). Effects of microalgal or macroalgal supplementation of an abalone diet on growth of juvenile greenlip abalone Haliotis laevigata. Proceedings of the 3rd Annual Abalone Aquaculture Workshop.",1996,Australia,Physical,YES,NA,YES,
FRDC Abalone Aquaculture Sub-program: Proceedings of the 4th Abalone Aquaculture Workshop,"Maguire, G.B., Boarder, S.J., Dunstan, G.A, Hindrum, S.M. & Johns, D.R., (1997).Vitamin and mineral supplementation of a formulated diet for juvenile greenlip abalone Haliotis laevigata. Proceedings of the 4th Annual Abalone Aquaculture Workshop.",1997,Australia,Physical,NO ,Study does not report extractable data,NA,
FRDC Abalone Aquaculture Sub-program: Proceedings of the 3rd Abalone Aquaculture Workshop,"Fleming, A. (1996, August). The effect on growth rate and general health of H. laevigata fed the FRDC diet supplemented with microalga containing beta-carotene and a commercially available enzyme. Proceedings of the 3rd Annual Abalone Aquaculture Workshop.",1996,Australia,Physical,YES,NA,YES,
FRDC Abalone Aquaculture Sub-program: Proceedings of the 1st and 2nd Abalone Aquaculture Workshop,"Dunstan, G. A., Volkman, J. K., Maguire, G. B., Hindrum, S. M., & Johns, D. (1995). The effect of polyunsaturated fatty acid composition of artificial diets on abalone growth. Proceedings of the 1st and 2nd Annual Abalone Aquaculture Workshops.",1995,Australia,Physical,YES,NA,YES,
FRDC Abalone Aquaculture Sub-program: Proceedings of the 1st and 2nd Abalone Aquaculture Workshop,"Coote, T. (1995). Nutritional requirements of abalone (CRC). Proceedings of the 1st and 2nd Annual Abalone Aquaculture Workshop.",1995,Australia,Physical,,NA,,Published full-text located - cross check with search
FRDC Abalone Aquaculture Sub-program: Proceedings of the 4th Abalone Aquaculture Workshop,"Scharkie, R. W. (1997). The growth of the Tasmanian blacklip abalone (Haliotis ruber) on several artificial or formulated diets. Proceedings of the 4th Annual Abalone Aquaculture Workshop.",1997,Australia,Physical,YES,NA,YES,
FRDC Abalone Aquaculture Sub-program: Proceedings of the 5th Abalone Aquaculture Workshop,"Boarder, S.J., & Maguire, G.B. (1998).Evaluation of vitamin and mineral requirements for greenlip abalone Haliotis laevigata - a progress report. Proceedings of the 5th Annual Abalone Aquaculture Workshop.",1998,Australia,Physical,YES,NA,YES,
FRDC Abalone Aquaculture Sub-program: Proceedings of the 4th Abalone Aquaculture Workshop,"Maguire, G.B., Roden, D.J., Burke, C.M., Johns, D.R.. & Hindrum, S.M., (1997).Effects of dietary fibre on the performance of juvenile greenlip abalone Haliotis laevigata and on the growout tank environment. Proceedings of the 4th Annual Abalone Aquaculture Workshop.",1997,Australia,Physical,YES,Study does not report extractable data,NA,
FRDC Abalone Aquaculture Sub-program: Proceedings of the 1st and 2nd Abalone Aquaculture Workshop,"Dunstan, G. A., O'brien, D., & Heather, R. (1995). Growth rate of abalone fed an artificial diet fortified with seaweed. Proceedings of the  2nd Annual Abalone Aquaculture Workshops.",1995,Australia,Physical,NO ,NA,YES,
FRDC Abalone Aquaculture Sub-program: Proceedings of the 3rd Abalone Aquaculture Workshop,"Dunstan, G. A., Volkman, J. K., Maguire, G. B., Hindrum, S. M., & Johns, D. (1996). Efect of amount and type of dietary lipid on abalone growth rates. Proceedings of the 3rd Annual Abalone Aquaculture Workshops.",1996,Australia,Physical,YES,NA,YES,
Proceedings of the 12th Annual Abalone Aquaculture Workshops.,"Vakalia, S., & Benkendorff, K., (2005). Antimicrobial activity of the haemolymph of Haliotis laevigata and the effects of a dietary immunostimulant. Proceedings of the 12th Annual Abalone Aquaculture Workshops.",2005,Australia,Physical,YES,NA,YES,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
